2022-03-01	11
2022-03-02	16
2022-03-03	11
2022-03-04	11
2022-03-05	10
2022-03-06	11
2022-03-07	18
2022-03-08	16
2022-03-09	17
2022-03-10	19
2022-03-11	12
2022-04-01	15
2022-04-02	19
2022-04-03	20
2022-04-04	22
2022-04-05	24
2022-04-06	14
2022-04-07	24
2022-04-08	25
2022-04-09	26
2022-04-10	26
2022-03-01	11
2022-03-02	16
2022-03-03	11
2022-03-04	11
2022-03-05	10
2022-03-06	11
2022-03-07	18
2022-03-08	16
2022-03-09	17
2022-03-10	19
2022-03-11	12
2022-04-01	15
2022-04-02	19
2022-04-03	20
2022-04-04	22
2022-04-05	24
2022-04-06	14
2022-04-07	24
2022-04-08	25
2022-04-09	26
2022-04-10	26
